,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24
Sample_1,-0.78535897,-4.3366547,-3.1596427,1.952529,2.4135215,-1.4877851,3.2662134,1.8072443,-0.58727944,0.5659139,2.0497732,-1.6435888,0.09283692,0.6297928,0.08377099,-12.139638,-0.91560185,1.4255681,0.9248076,1.7244142,-0.23373795,2.4324436,-3.726127,0.8055177
Sample_2,0.37145892,-1.8674914,-1.578386,2.2906687,2.0584404,1.8595195,0.56180894,-0.7065841,0.30228198,-0.8326745,2.0075338,-0.9340858,1.1043036,-2.9918206,0.87143743,16.288965,0.7727343,0.15606368,2.9315505,2.1081505,-0.3386823,0.38367653,-3.7178066,1.3240802
Sample_3,-2.0148802,-2.3829072,-1.674842,2.4667232,3.5645027,2.1327295,3.9991593,1.0275282,0.49506012,-1.3801141,0.9050177,-0.098144054,0.4684756,-1.865617,-1.5820696,5.4204564,0.34474024,1.2292829,1.5838599,0.068142295,0.42338008,1.9716702,4.3634415,2.23411
Sample_4,-1.7577281,-3.8227453,-1.3477395,0.66634274,2.8164916,-0.09227741,4.1058,1.0622846,-0.18373373,0.75798655,0.9159558,-2.471069,0.99393123,-1.7780764,-3.6068976,-8.866429,0.56277823,-1.3857446,0.97499174,2.7447848,0.19982803,0.49923927,-0.6342345,-0.04783094
Sample_5,0.7626825,-2.7902203,-2.2370508,2.6058714,2.404185,-3.0126562,2.1982493,1.7147526,0.11160293,1.442781,1.4480902,-0.9501768,2.6622648,-1.9292214,-0.5233483,43.51834,0.49029142,1.3692011,-0.28660226,0.8714086,-0.541378,0.26567537,-1.5289614,1.4592004
Sample_6,-0.7705461,-2.1080515,-3.095577,0.866917,3.7058766,1.113321,0.8309387,0.6391444,-0.9147393,-0.24582493,2.0341585,-1.3087215,-0.42175233,-0.6708356,-3.144023,0.65242237,0.054794222,1.7015905,0.8675119,2.0322545,0.8105159,-0.21957421,-1.6429075,0.17449111
Sample_7,0.4693039,-1.2511597,-3.6249807,1.312929,2.4412763,-1.9474795,2.7414598,0.69906986,1.3054723,-1.6842526,2.0730782,-0.16032052,1.4175186,0.038633585,-1.309726,5.1941805,-0.8358475,2.9793954,-3.1311803,2.520104,0.13226026,1.0467268,-3.050656,1.0850706
Sample_8,0.3285821,0.8862057,-2.9838126,0.00027787685,1.8396399,2.3660207,2.274229,1.1280125,0.6166932,-0.44410375,1.4613895,-1.7753859,1.9594299,0.50716615,-1.8173587,39.038654,0.12150204,0.40250528,-0.72599304,1.1934986,-0.22403657,1.9978409,0.35247636,0.8800821
Sample_9,1.3007704,-3.2262805,-3.3562708,1.732389,3.2747555,-0.11376062,2.633463,1.8529594,-0.98108053,-1.3275738,1.7344077,-1.2513069,-0.118070364,-2.2055457,0.76327527,-29.663725,-0.7103378,1.391721,2.9875937,0.91141963,-0.3493305,0.5031195,-3.9836175,2.394535
Sample_10,-0.99221736,-2.4147263,-3.0334468,0.91246027,1.9464319,0.17435357,2.3836272,1.6488612,0.869573,0.97341573,1.9592214,-1.298242,2.5689917,-2.5413766,-0.27204233,-11.85643,-0.7117566,0.29479784,1.7265191,1.9944521,0.20052996,0.9893074,-4.2576103,1.1102892
Sample_11,-0.16712469,-1.2160354,-3.069825,2.7646832,1.2446152,0.0038403869,1.9012585,0.5761716,0.44475457,1.5204622,2.060658,-1.0627126,3.3066514,-1.575032,-1.7988049,11.469131,0.6248014,0.5857439,-2.2829647,2.0515504,0.019549772,0.48222893,1.4113837,1.1392508
Sample_12,2.8570793,-1.7159727,-3.8877475,-0.38896406,1.9907856,-0.7381458,1.6626648,0.13231122,2.0618865,-1.0700397,1.6803478,-1.6289241,-0.7820927,-1.5896602,0.5278815,-47.864357,-0.45556584,-1.4916517,0.15824693,3.0708127,-0.4355016,2.7587557,-0.39261425,2.2836828
Sample_13,-2.476764,-2.4408784,-2.551384,1.0824726,2.5805647,0.5679654,2.3409293,2.020594,1.2240508,-1.7032857,1.1305851,-1.5127742,0.0953061,3.252544,-4.441062,-39.071594,-0.37607977,0.7753235,-0.037971437,1.4723167,-0.23228736,2.034274,-5.3493958,2.1037905
Sample_14,-2.1411297,0.29637718,-4.1729436,0.90703064,2.195457,-1.1843655,1.5408282,1.0188048,-1.2516645,-0.018800616,0.93234205,-2.2849674,0.7015162,-3.8360023,0.19907856,-27.65969,2.2264838,1.5406042,1.2471176,2.3636842,0.37115598,0.11413777,0.5329989,0.96231425
Sample_15,0.45988417,-3.9235063,-3.9637246,1.9318675,2.4735062,-1.0174601,0.69665444,0.84528506,-0.34259903,-1.5047753,2.5825148,-2.8070855,-1.0367167,-2.0838094,1.9985448,51.791447,-0.49685138,2.1051707,-1.2735268,1.9022622,0.017241495,0.4295212,-3.0970478,-0.9840528
Sample_16,-4.184424,-2.9075284,-3.0642343,2.0768023,2.792138,-0.6539431,1.7248821,0.30323577,0.4759703,-0.70688516,0.9470123,-2.011633,1.4940902,2.429706,-2.2383742,34.996902,0.17870875,2.43538,3.0538635,2.0088391,-0.036891326,1.8784463,0.9993539,-0.7053031
Sample_17,0.16425413,-3.1644094,-3.0509458,1.8206695,2.1613603,-0.5717183,4.642736,1.7398016,-1.1976244,0.2226069,1.0151552,-1.777026,2.2870634,-0.09908533,-2.0963092,-5.8307276,0.34739178,1.3567277,-0.6254597,1.9503168,-0.050388582,0.53253996,0.55261695,0.34486663
Sample_18,-0.44620675,0.41859198,-3.1777816,0.6090998,1.4203005,-1.7267406,6.396137,1.7669977,1.6479845,0.7638535,2.1432025,-1.9878588,-1.2493904,-2.9105377,-1.2093589,23.79641,-1.2027955,2.4014587,4.7419724,0.79771554,-0.2679003,1.7543797,1.0975776,2.0560327
Sample_19,-1.2414136,-1.4987032,-3.539175,2.45497,1.5228302,2.9423108,5.8304224,1.1215758,-0.31013095,-0.39594683,0.9839792,-0.9140093,1.5419569,0.9277029,-2.3737764,-17.62671,0.52939665,-1.2804662,1.7037104,1.0361954,-0.15132603,0.5178361,-2.626583,1.7528497
Sample_20,-1.4781184,-2.7813525,-3.224363,3.3011417,1.8520712,-0.13548759,5.795251,1.1419252,0.20680529,-0.23457834,1.8677857,-1.2801478,1.1219634,-3.7376022,-2.5656521,-36.877136,0.09757689,-0.0048540235,-0.13709712,1.3193266,-1.2941046,1.8470471,3.2500875,0.71114194
Sample_21,-2.5405734,-2.9703696,-4.2553706,0.03544104,2.1521106,-0.7614567,6.2864237,1.6584679,-0.08298749,1.762003,1.2320356,-1.7080208,1.0032382,0.13609791,0.68981326,10.558094,0.09481278,2.1146529,0.041622758,2.1221068,0.24556,1.0372558,-0.5166172,1.6274301
Sample_22,1.1264901,-1.5241611,-3.168233,2.0853257,2.3205907,0.378342,2.804523,0.9589535,0.060430013,1.3214979,1.503055,-0.94565326,-1.1858513,-2.5068016,-1.1596919,-42.48192,-0.21614885,2.8720598,0.286327,1.5866299,0.19822471,1.0373782,-1.6648927,1.4132519
Sample_23,0.5089972,-3.655595,-2.409791,1.5857788,1.5529034,1.4775267,1.8707855,1.6923716,-0.6639821,0.16549045,1.1683853,-0.85722786,1.6953702,0.7649243,-3.9860945,3.5598745,0.92745936,1.9980457,-0.31265712,1.2345743,-0.23646085,0.24428588,0.26619506,1.8002131
Sample_24,-1.1861869,-1.9713535,-3.2164075,0.9328235,3.6730514,-1.9320935,6.978194,0.7725716,-0.0013961941,-1.3761795,2.0244303,-1.1680682,-0.2853006,-2.5741112,0.45356572,-17.119987,1.050948,1.5267444,3.3039758,2.4130797,0.46793145,1.7764025,-2.9123533,1.2825751
Sample_25,-2.451325,-1.560221,-3.4457266,0.96054745,2.2484484,2.5941348,4.1425414,0.8418243,-0.2594773,-1.9490343,1.1731496,-1.4376562,3.9107988,2.0689964,-0.41664398,-25.272955,1.3756158,1.5367367,1.0741135,2.2478628,0.13556868,1.2285109,-0.44170243,1.8405328
Sample_26,-0.52778196,-3.423318,-3.036074,1.2021446,1.4851277,-1.9383057,3.738607,0.787727,-0.054389343,-0.22912289,0.7618589,-2.3097503,-0.2636702,-1.2090234,2.4107568,0.78988385,0.16748501,1.8803604,-1.2199062,0.74750036,-0.715809,0.91944474,-3.5571918,0.07086712
Sample_27,-3.4037635,-4.752551,-3.9912117,1.1711755,2.3713214,0.1252175,6.140177,1.3046128,1.2304467,-1.8894291,1.639995,-1.042274,2.453943,-3.7769089,-2.1335137,55.38488,0.9015527,1.2744792,1.904209,2.1613345,-0.015794694,0.78371114,-1.1271805,0.1686117
Sample_28,-0.037734486,-2.9119105,-2.9806354,0.81003714,3.2979338,2.5371292,3.1200013,1.4485484,0.93348384,-1.3792963,1.6489654,-1.3756958,0.43577936,-1.6839383,-0.09519184,6.7323866,0.73323345,3.7931116,2.8148956,2.3062174,-0.4494645,1.6894305,0.13582039,2.6007228
Sample_29,-0.7828924,-3.4624314,-2.6454623,2.3212707,2.0122418,-0.47590667,1.4124092,0.4694938,0.54956377,1.348618,0.36612177,-1.4100503,2.637167,0.20120275,2.4324415,26.316784,-0.49884677,0.7819569,0.9957361,1.4702344,-1.0702783,1.8004246,-0.2702477,2.1108718
Sample_30,-1.3340552,-1.4178824,-3.918599,1.4378481,3.2233953,-0.91454875,-2.652911,0.32168102,0.54203975,-1.743071,1.6475595,-1.8099574,-0.6145798,-2.284943,-2.3067315,12.38266,0.68436015,2.9124746,2.3353167,1.2520343,-0.15776585,0.5932654,-1.2937514,0.12865704
Sample_31,-2.1833315,-1.8478222,-2.8340578,1.4081837,2.7325757,1.0613725,2.1235907,0.9241873,1.039517,-0.9235635,0.93790483,-1.1382881,-0.06381023,-1.9796271,-1.7950237,-6.884301,1.4235992,0.2234174,0.8426841,2.2467349,0.08640553,0.4190141,1.2687513,2.0033262
Sample_32,-1.8016729,-4.1183124,-4.5832562,2.0821793,2.596349,0.07591668,1.2592893,0.84133697,0.5329872,1.6675231,0.79342216,-1.787368,0.13101703,-0.36639625,2.8966913,-10.908871,-0.036779225,1.4189997,0.9041058,2.3107238,0.73456585,2.1954362,-3.3386936,2.578353
Sample_33,-2.421437,-1.813654,-3.6974792,1.1206218,4.6763945,0.79097456,3.4965258,2.128107,-0.22000255,-0.3691216,0.5990392,-1.5710104,0.9328295,-0.10386908,-2.442181,-55.476948,0.22005427,0.48837888,2.4876578,2.1887522,-0.51038074,0.6521851,0.8948127,1.6696775
Sample_34,-0.6496236,-1.8595115,-1.7112058,0.73377275,2.7668343,2.9358006,1.5323226,0.29340768,-0.81381506,-0.40714535,0.796668,-1.5928198,-0.5455303,-2.1910756,-3.184583,44.116833,0.6916866,0.051636517,1.1344169,0.47518063,-0.49843925,1.4043007,-2.3195324,0.11194205
Sample_35,0.6240009,-2.759762,-3.9475427,2.2306,4.7034235,1.6450706,5.108762,0.70654416,1.8512456,-2.240673,1.3285139,-0.9381006,1.8552103,0.027317524,-2.0159972,-18.298605,0.14867501,1.240259,1.1077522,2.0066957,-0.003502652,0.19565672,-3.398379,1.7699826
