sample,batch,condition
Sample_1,Batch2,Tumor
Sample_2,Batch2,Normal
Sample_3,Batch1,Tumor
Sample_4,Batch2,Normal
Sample_5,Batch1,Tumor
Sample_6,Batch1,Tumor
Sample_7,Batch1,Normal
Sample_8,Batch2,Tumor
Sample_9,Batch1,Tumor
Sample_10,Batch2,Normal
Sample_11,Batch1,Normal
Sample_12,Batch1,Tumor
Sample_13,Batch1,Normal
Sample_14,Batch1,Tumor
Sample_15,Batch2,Tumor
Sample_16,Batch1,Normal
Sample_17,Batch2,Normal
Sample_18,Batch2,Tumor
Sample_19,Batch1,Normal
Sample_20,Batch2,Tumor
Sample_21,Batch1,Tumor
Sample_22,Batch2,Normal
Sample_23,Batch2,Tumor
Sample_24,Batch1,Tumor
Sample_25,Batch2,Tumor
Sample_26,Batch2,Normal
Sample_27,Batch1,Tumor
Sample_28,Batch2,Normal
Sample_29,Batch1,Normal
Sample_30,Batch1,Normal
Sample_31,Batch2,Tumor
Sample_32,Batch2,Tumor
Sample_33,Batch1,Tumor
Sample_34,Batch2,Tumor
Sample_35,Batch1,Tumor
Sample_36,Batch1,Tumor
Sample_37,Batch2,Normal
Sample_38,Batch1,Normal
Sample_39,Batch1,Normal
Sample_40,Batch1,Tumor
Sample_41,Batch2,Normal
Sample_42,Batch1,Normal
Sample_43,Batch2,Normal
Sample_44,Batch2,Normal
Sample_45,Batch1,Normal
Sample_46,Batch2,Normal
Sample_47,Batch1,Tumor
Sample_48,Batch2,Normal
Sample_49,Batch1,Tumor
Sample_50,Batch2,Tumor
Sample_51,Batch2,Normal
Sample_52,Batch1,Normal
Sample_53,Batch1,Normal
Sample_54,Batch1,Tumor
Sample_55,Batch1,Tumor
Sample_56,Batch1,Normal
Sample_57,Batch1,Tumor
Sample_58,Batch1,Tumor
Sample_59,Batch1,Normal
Sample_60,Batch2,Normal
Sample_61,Batch1,Tumor
Sample_62,Batch2,Normal
Sample_63,Batch1,Tumor
Sample_64,Batch1,Tumor
Sample_65,Batch1,Tumor
Sample_66,Batch2,Tumor
Sample_67,Batch1,Tumor
Sample_68,Batch2,Normal
Sample_69,Batch2,Tumor
Sample_70,Batch1,Normal
Sample_71,Batch2,Tumor
Sample_72,Batch2,Normal
Sample_73,Batch1,Tumor
Sample_74,Batch2,Tumor
Sample_75,Batch1,Normal
Sample_76,Batch2,Normal
Sample_77,Batch2,Tumor
Sample_78,Batch1,Normal
Sample_79,Batch1,Normal
Sample_80,Batch2,Normal
Sample_81,Batch2,Normal
Sample_82,Batch2,Normal
Sample_83,Batch1,Normal
Sample_84,Batch1,Tumor
Sample_85,Batch1,Normal
Sample_86,Batch2,Normal
Sample_87,Batch1,Tumor
Sample_88,Batch2,Normal
Sample_89,Batch1,Tumor
Sample_90,Batch1,Tumor
Sample_91,Batch1,Tumor
Sample_92,Batch1,Normal
Sample_93,Batch2,Tumor
Sample_94,Batch2,Tumor
Sample_95,Batch1,Normal
Sample_96,Batch1,Normal
Sample_97,Batch1,Tumor
Sample_98,Batch1,Normal
Sample_99,Batch2,Normal
Sample_100,Batch2,Tumor
Sample_101,Batch1,Normal
Sample_102,Batch1,Tumor
Sample_103,Batch2,Normal
Sample_104,Batch1,Normal
Sample_105,Batch1,Tumor
Sample_106,Batch1,Normal
Sample_107,Batch1,Normal
Sample_108,Batch1,Tumor
Sample_109,Batch1,Tumor
Sample_110,Batch2,Tumor
Sample_111,Batch1,Normal
Sample_112,Batch1,Normal
Sample_113,Batch2,Normal
Sample_114,Batch1,Tumor
Sample_115,Batch2,Tumor
Sample_116,Batch2,Tumor
Sample_117,Batch2,Tumor
Sample_118,Batch2,Normal
Sample_119,Batch1,Normal
Sample_120,Batch1,Tumor
Sample_121,Batch2,Normal
