,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24
S001,-0.058727354,0.1856439,0.88277715,-0.5010879,0.9555658,1.0571557,0.021459684,0.51493853,0.47169214,0.032468535,-0.12882009,1.6864241,-0.593612,0.01923015,-0.12847374,-0.2696103,1.5928439,-0.562146,0.26051027,0.67482674,0.29695347,0.121010736,-1.4103904,-0.720413
S002,0.05875337,-0.24560283,-0.014626306,0.43470007,-0.90065986,-2.0469418,-0.008350336,0.11949174,0.2802292,1.0112112,-0.05912634,-2.2355473,0.0014555566,0.7431075,0.05722755,0.51603097,-0.85854024,-0.92572415,0.108762145,-0.2758095,0.3033827,0.32490918,0.49743968,0.82221466
S003,0.007871211,-0.15519114,0.4744757,-0.5694134,1.4448658,2.2567904,0.9753829,0.3058696,-0.6425363,-0.13710463,-0.8474758,1.5940254,-0.5416485,-0.29180685,-0.064271495,-0.9036312,1.1249706,0.11613721,0.093408056,0.7449533,0.2078825,-0.7392182,-0.2105603,0.3387048
S004,0.8888495,0.61368084,-0.9476025,0.19207916,-0.5881324,-2.3338206,-0.085184135,-0.2476957,0.27738613,-0.31165513,0.6383317,-1.3445117,0.6826971,-0.54470533,0.3161321,-0.51092404,-1.3501233,0.40592664,-0.71522146,-1.2339778,-0.84489965,0.16590656,-0.2942906,0.14065805
S005,-0.19226763,0.38068423,0.049466453,-0.43507424,0.6262739,2.122912,1.28974,0.65692943,0.19559056,-0.012304001,-0.8270835,1.9976382,-0.46029434,-0.2209447,-0.037680674,-0.19450621,1.4099021,0.17107585,1.2840918,0.28364933,0.008029781,0.5148002,0.5236152,-1.0898838
S006,-1.0569186,0.5540831,0.2430749,1.2972544,-1.2909795,-0.826646,0.7501576,1.0621042,0.7775078,-0.4611875,0.17997925,-1.2278795,0.66812426,-0.7503275,-0.63142043,0.38501963,-1.0282006,-0.056625996,0.3733784,0.1147513,-0.16825485,-0.48000687,0.98395693,1.1133921
S007,0.31030363,0.053690866,0.048741452,0.0859752,1.1165665,0.37938115,0.408703,0.3885217,-0.2987262,-0.3912717,-0.30502117,2.0952954,1.3193803,0.29731616,-0.22927244,-1.065049,-0.34245163,0.4825358,0.8910364,0.1828315,0.90057385,-0.2885343,-1.1863648,-0.65615934
S008,-0.23683423,-0.09377648,0.2605938,0.07978686,-0.85947764,-2.0190077,-0.66033727,-0.15870635,0.36993307,0.6294379,0.9458285,-1.6020088,0.10584158,0.12855384,-0.40643203,0.6368735,-1.1933111,-0.22870567,-0.4535759,-1.1612768,-0.84718066,0.38259178,0.77702904,-0.07316796
S009,-0.3879473,0.23114075,0.43343982,-0.35392213,2.4638865,1.5286849,-0.5835952,-0.47101116,-0.12551689,-0.30328718,-0.88603526,0.4253339,0.3234365,-0.14374363,-0.3990089,-0.807344,0.64806306,0.21853799,0.43260753,0.38718337,1.1488323,-0.10116647,-0.3417467,0.113552175
S010,1.0059173,0.5599127,-0.12947357,0.37555647,-1.0224541,-1.555331,0.3855074,-1.0544003,0.7503385,-0.06787955,-0.26681954,-1.5726898,0.5605621,0.349622,-0.3435442,0.27268657,-0.3195891,0.6527923,-0.74839956,-0.017112829,-0.7802638,-0.26790294,0.13226034,0.20289049
S011,-0.6716464,-0.6198214,-0.27108428,0.041540265,2.1278024,1.7683215,0.27713326,-0.022985024,0.37292692,-0.37403312,-0.7136351,1.2117839,-0.44042173,-0.08522711,-0.08815117,-1.342094,0.3052308,1.005604,-0.16225903,0.3587735,1.0741713,0.12491068,-0.6515043,0.35869408
