,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30
S001,-22.137122824255492,0.3211813717151308,0.744712018516661,0.9283666197626023,-0.025048605640762747,-0.02916917067969406,-0.09126529916829067,-0.10484916092361611,0.5363751189947233,-0.19451151635271155,-0.2762384313691247,-0.12584651829474033,0.011863293351820278,-0.04070326204540945,-0.2115147092251362,-0.43899802778072294,-0.24722823372250907,0.1487230282980825,0.14591382656166083,-0.013175876545219546,0.13222840263543545,0.13409481866538633,-0.06333409322315257,0.14893555560680172,-0.14989460389184103,0.05907902319514668,0.08959322856096709,-0.016762339689537206,-0.09844626719186242,-0.02554657281570053
S002,21.909941795763885,0.35265732412533923,0.4339164241538723,-0.6260830610538534,-0.47967012442087126,-0.2005162630038165,-0.36592078936928396,-0.28586844591981564,0.008026396120728953,-0.47473319105599465,-0.09955982095171104,0.3193400059736159,0.035447061771370546,-0.32325733645042215,0.3605678228284022,-0.29392788822958316,0.1885718275541581,0.1874176159570765,0.32589888682696566,0.3035824034570843,0.16994892619089078,-0.0007692058201397199,0.08728714359091905,-0.04650573099694041,-0.24434551349277353,0.029038962299904263,-0.05009297665467164,-0.18007864678181745,0.021314803087893172,0.17654777081002984
S003,-22.05380423299991,0.090612120235529,0.32103061493265805,0.3624239577226183,-0.1934874046477789,0.46347162092456484,-0.768187489113825,0.5094690855538099,0.4158028879011986,0.14631726992206234,-0.12498552810830625,0.07229506013225263,-0.12542620760272957,0.10602054204212655,0.1628714523430708,0.5406014516905853,0.08530017892521607,0.3405827299394559,-0.20401533960032747,-0.07178790649039732,-0.12523495786042768,0.02967232996031425,0.3617445233845507,0.20115924263965324,-0.06181923536842854,0.10729348751500872,-0.3972102650156467,-0.007070245026841935,0.10454399866161536,0.08977196027255313
S004,21.720321789596017,0.4445802777389754,0.5047298256667664,-0.12786681332850997,0.5595658799841816,-0.46318044798448843,-0.7723280191169891,0.07756268330897687,0.05787493923240606,-0.32004142550011044,0.40128416427744373,-0.017738058371655877,-0.08855656515458488,-0.1239593151743577,-0.2346846853899006,0.03222953721677444,-0.10914844055953254,-0.2420147843765787,-0.024878583318771873,-0.004421844694304189,0.18900758785111768,0.04938853216434776,0.1123045662234299,-0.1502470567625183,0.060573753373038754,-0.22691793157906348,-0.005664679871268839,0.15702364837562,0.16665705978377182,-0.09003602153652741
S005,-22.12719970886144,0.28593542714285725,0.47952466820887507,0.7538936798661084,-0.0704131758294923,-0.0028074184629924923,-0.18399554330076962,-0.0017935301586024476,0.4813402123617392,-0.07679637344812776,-0.12549648673065675,-0.28380756594518797,0.06581201588871208,0.04191605381825693,0.07214835462665585,-0.2056693847806072,-0.24461293506436602,-0.03787999196398841,-0.0059540005083529406,-0.12527173864107782,-0.11874005546462581,0.06310899540329562,-0.15749513057342956,0.04815220802982688,-0.05713880836402172,0.13034911531943955,-0.03710952340978303,0.013749519157359528,0.07964348023331981,0.0032784433161844703
S006,21.987635824455488,0.06738140193221878,0.16115967886955915,0.019745309553035002,-0.05506320883272801,-0.06595273415776791,-0.3638913965093998,0.12193005741348499,0.16543926114356813,0.1829461896152708,0.311575345363521,-0.17576890313695476,-0.27893046896955126,0.15022366921167232,-0.4165562022807054,0.3104922303624964,0.07821736622804341,-0.1085190248589426,0.17798000122376778,-0.06947574150756607,-0.056987400106070944,0.05218680152440118,-0.012133647282358849,0.009112785033184733,0.24591806898563398,-0.0868080689704473,0.11731862470962148,-0.07744205127431214,-0.07955802890270834,-0.04711101892506691
S007,-22.084734512720292,0.06752463343981914,0.4315067503027723,0.41107909227440453,-0.028402364652031973,0.05306063712519495,-0.09330918577338158,-0.026121574328348857,0.150176900379693,0.025420141427580197,-0.12321206736587549,-0.015555077216340031,0.0382917919588548,0.05806270489999055,-0.11946816228314912,-0.18670452571366655,-0.01942926328100317,0.11573318845374098,0.11043226025657735,-0.009262324898343543,0.021941061375299276,0.0677255295337966,0.007740716281212673,0.005224128874097002,-0.03416697105386147,0.026848988931060348,0.08677844664502066,0.04771766702228763,-0.03877252841926447,-0.059017064791293664
S008,22.244365679581595,-0.507044440876405,-0.09155104982026442,-0.09268447573317015,-1.1051439169166037,-0.35964570101061194,-0.1519146296084744,0.1658598736837128,-0.11892841796004351,0.34950801899851025,-0.1332118472387687,-0.5778986655227463,0.316257561521473,0.32024648516762677,0.03469165592765649,-0.3528778541088932,0.2775072453908892,0.16386818308472784,-0.33992621708118986,0.014243722067716577,0.18699481586682123,-0.17212811334994074,0.14503731495834615,0.24440213210625814,0.16605017858732662,-0.1821360933228088,-0.0018819831094787456,-0.2368757657924385,-0.08512007008252723,-0.005069206693749912
S009,-22.077447747875368,0.19402422588478843,1.0100176686526683,0.565369039305572,-0.17818678270169402,-0.25667354594837205,0.6601501749445563,-0.2872265943390508,0.0653431536589637,0.02020566151124358,0.032623591738550735,0.07701107334922748,-0.1641624923269888,0.4210195696781027,-0.25932305704912867,-0.12226487483270675,-0.25370357269260363,0.5378346200754313,-0.055500780693345804,0.610121888580833,0.005310610140853718,-0.018697059374145123,0.22859718367645168,0.27519857552569205,-0.13640871071200916,-0.15293743944526958,-0.04992490432782473,0.2620402352946457,-0.04252372932670942,0.012319625700516493
S010,21.900659647639525,-0.1607217048093943,0.45727396577757,-0.19708819574303643,0.33622587358877826,-0.7442389522764036,-0.7341884462245771,0.11702349787480745,0.12412037940105085,0.09580033033437421,0.22669964525602315,-0.26656288340198736,0.03535658251843003,0.04225672950055617,-0.2252460508025653,0.08746252051084381,0.052599176766569215,-0.1242663468178164,-0.009616462287186631,0.1780869691991034,0.2167694674427603,0.02451960836192748,-0.04794841071448377,0.104092193008941,0.1006111022423688,-0.008062171190005005,0.005925883980684329,0.07205923999707362,0.05683012563354934,0.018958433430050187
S011,-21.84674152961892,0.4145778544794811,1.6589622748374724,0.9807828604424964,-0.5511950055212477,-1.0351623828438383,1.0776673685901328,0.3348140163620883,-0.6181379958284534,0.24291287694737998,0.6852833551018053,0.2627514740782295,0.4484084021725591,-0.08346083879238395,0.11156270094399179,0.3225396316542291,0.3604763225311364,-0.34540351271093567,0.19018248279800393,-0.18015619790497636,-0.07717211020810666,-0.09599578722099458,0.23667830687467672,-0.045537264247633887,-0.020060950152961107,0.05921403848477437,-0.05426175325967163,-0.018676506999994454,-0.10849808374578075,0.052804297373615666
