"","S001","S002","S003","S004","S005","S006","S007","S008","S009","S010","S011","S012","S013","S014","S015","S016","S017","S018","S019","S020","S021","S022","S023","S024","S025","S026","S027","S028","S029","S030","S031","S032","S033","S034","S035","S036","S037","S038","S039","S040","S041","S042","S043","S044","S045","S046","S047","S048","S049","S050","S051","S052","S053","S054","S055","S056","S057","S058","S059","S060","S061","S062","S063","S064","S065","S066","S067","S068","S069","S070","S071","S072","S073","S074","S075","S076","S077","S078","S079","S080","S081","S082","S083","S084","S085","S086","S087","S088","S089","S090","S091","S092","S093","S094","S095","S096","S097","S098","S099","S100","S101","S102","S103","S104","S105","S106","S107","S108","S109","S110","S111","S112","S113","S114","S115","S116","S117","S118","S119","S120"
"Gene00001",0,2,1,1,1,0,0,2,0,1,0,2,3,0,3,0,1,0,0,0,2,1,1,0,0,0,2,0,1,1,2,1,2,1,0,2,5,0,1,1,1,2,3,0,0,1,3,0,0,2,1,1,0,0,0,1,1,1,0,2,3,0,0,1,2,2,1,0,1,0,1,0,2,1,0,0,0,1,2,0,0,3,2,2,2,2,0,0,0,0,0,0,1,1,1,0,1,1,0,1,2,1,0,0,0,0,0,2,0,1,0,0,1,1,1,2,1,1,0,0
"Gene00002",1,1,12,4,2,7,9,4,1,3,4,9,5,2,1,3,5,6,3,4,5,5,6,6,5,1,2,7,2,10,4,2,12,8,2,2,1,5,1,4,4,4,6,6,4,5,1,11,5,2,2,1,2,1,5,3,2,6,2,2,5,3,0,0,10,3,3,3,1,9,4,6,1,3,1,0,1,9,1,0,9,7,2,7,2,2,4,5,3,1,6,4,6,5,2,2,2,3,0,2,1,12,4,4,11,3,9,7,5,0,3,5,6,5,3,4,4,5,0,4
"Gene00003",4,9,7,2,4,5,6,6,5,9,7,2,13,3,6,6,7,1,6,5,5,13,2,9,7,7,5,14,4,5,4,8,5,2,8,4,5,10,8,5,11,6,3,11,4,9,7,12,9,2,9,8,6,7,7,15,7,4,1,4,10,12,17,11,7,10,2,20,9,11,15,8,12,15,2,4,4,11,14,18,16,6,10,2,8,1,16,25,9,7,5,9,7,3,6,10,8,10,6,7,5,8,6,5,4,10,7,10,7,10,1,6,6,0,4,10,3,4,5,4
"Gene00004",0,1,0,1,0,0,0,0,2,1,0,0,1,0,1,1,0,0,0,2,0,0,1,0,0,0,0,2,1,1,1,1,0,1,1,0,1,0,2,0,2,1,0,1,1,0,1,0,1,2,1,0,0,0,1,0,0,2,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,2,1,0,0,0,3,0,1,0,1,0,0,0,1,0,0,2,0,0
"Gene00005",6,3,10,5,9,3,9,15,5,8,1,4,3,4,6,3,5,0,3,3,11,4,8,2,2,5,5,11,4,6,10,5,6,7,11,2,5,8,4,6,5,5,8,5,2,5,10,5,5,4,7,4,2,6,3,5,3,5,2,7,9,5,2,3,2,7,3,5,2,8,1,13,2,7,4,3,6,9,5,2,10,1,2,6,3,4,9,4,2,4,4,3,2,4,6,7,1,6,6,9,7,2,6,1,5,3,4,3,6,4,6,1,3,2,2,4,4,5,4,4
"Gene00006",5,6,5,2,0,4,9,2,4,3,2,0,5,1,5,2,2,3,6,6,10,4,5,0,3,1,2,2,7,2,6,3,3,7,0,1,5,5,11,5,9,12,6,8,6,2,5,11,4,5,2,2,9,4,0,3,4,0,8,5,2,4,3,3,5,3,2,7,4,6,4,4,5,7,5,9,5,9,11,7,5,2,6,7,1,2,4,7,1,4,8,4,5,7,5,4,9,11,6,1,2,4,1,4,0,3,11,0,8,7,1,2,5,4,7,6,3,10,6,3
"Gene00007",2,1,1,1,0,0,2,0,0,1,1,0,2,3,4,1,4,2,2,0,1,7,3,0,2,4,9,0,3,1,3,1,6,1,0,2,0,0,0,0,5,4,0,2,0,2,0,1,1,1,5,1,4,6,1,0,0,1,0,3,0,3,1,1,1,2,2,1,2,1,0,1,0,1,4,2,0,2,3,2,0,0,0,0,2,0,1,2,2,2,1,1,0,1,0,2,3,0,2,0,2,2,0,2,0,0,4,1,0,1,1,4,0,1,3,2,4,2,1,4
"Gene00008",1,1,1,2,2,0,2,1,0,0,2,1,1,2,5,1,4,0,1,0,2,0,6,1,2,1,4,2,1,4,5,1,6,1,0,0,2,1,5,0,1,4,3,0,4,1,3,0,1,3,1,1,1,2,0,3,4,0,1,2,9,0,1,3,4,1,0,1,5,1,1,2,4,2,2,1,1,0,4,0,2,2,0,1,2,2,3,2,3,0,0,0,3,0,4,0,2,0,2,0,2,0,3,1,1,1,3,0,1,0,4,2,1,2,1,0,3,2,1,1
"Gene00009",3,1,3,2,1,6,7,4,2,4,3,1,2,0,1,3,3,2,0,1,2,1,0,6,4,3,1,5,2,6,2,2,2,2,0,0,2,0,0,2,1,3,0,2,3,2,2,5,0,2,2,0,1,1,0,0,1,1,0,5,3,2,2,2,0,6,0,2,1,1,4,5,0,3,2,2,1,2,7,2,4,3,0,1,2,1,2,1,1,0,3,2,0,1,1,3,3,2,0,2,2,3,0,1,2,0,1,1,2,1,4,2,0,2,1,2,1,2,4,0
"Gene00010",4,0,0,1,2,5,2,1,2,0,0,0,2,0,1,3,1,1,1,0,0,1,3,0,1,4,1,2,1,3,0,0,0,0,2,1,1,0,1,0,1,2,2,1,3,1,1,5,1,0,0,2,0,0,1,0,1,3,1,0,2,1,5,0,1,2,0,1,3,0,2,2,1,2,2,1,0,2,0,2,2,3,1,1,1,0,1,2,2,1,0,0,2,1,1,1,3,4,0,2,0,0,1,0,1,3,3,1,2,1,1,3,2,2,3,2,1,0,0,1
"Gene00011",4,1,1,0,7,2,0,2,0,0,0,3,0,3,4,2,1,1,1,0,0,2,0,2,4,2,7,3,1,1,2,3,5,1,0,1,0,0,1,2,2,3,3,4,0,1,1,3,1,2,1,2,0,0,4,3,2,0,2,5,1,2,3,1,0,0,2,0,1,1,3,1,1,1,4,0,0,0,0,0,0,2,3,1,7,2,1,0,1,1,3,0,2,1,1,0,2,3,1,0,0,4,2,2,4,1,0,0,0,2,3,4,1,2,1,1,1,0,3,0
"Gene00012",0,0,1,2,1,1,4,2,6,3,1,1,0,0,2,2,0,0,0,3,2,1,2,3,0,0,1,3,4,1,1,0,4,3,5,2,1,2,2,0,0,3,0,3,0,1,2,3,2,2,3,1,5,0,1,0,1,2,0,3,1,3,1,1,2,1,0,0,0,0,0,0,2,2,1,1,6,1,2,1,1,0,0,1,3,1,3,1,2,2,3,0,1,0,1,3,2,1,2,3,2,3,1,3,2,1,1,1,3,2,1,2,0,0,2,4,2,2,1,3
"Gene00013",3,4,1,5,4,1,3,3,1,1,0,2,1,0,5,1,2,2,0,3,3,0,3,2,2,1,0,0,1,1,4,3,4,2,2,2,0,2,1,4,2,5,2,3,1,2,0,4,1,3,1,2,3,1,2,1,3,5,1,3,2,0,3,2,5,1,6,1,6,0,0,3,1,2,5,2,1,5,3,2,0,4,1,4,1,3,5,3,3,3,1,0,1,3,1,3,1,4,1,1,0,1,0,2,3,2,3,1,4,7,3,1,0,2,3,7,1,3,1,2
"Gene00014",8,3,1,5,6,3,11,8,16,1,7,5,8,6,5,6,3,6,5,9,2,4,8,12,3,2,7,4,1,7,4,2,5,2,5,2,5,6,4,6,2,2,6,2,2,3,2,1,6,5,6,3,2,2,3,2,1,5,2,7,4,8,6,7,8,6,2,7,4,7,9,4,5,11,6,6,8,10,9,1,1,8,7,6,3,7,4,3,2,11,0,3,5,2,0,1,6,3,0,1,0,0,1,2,2,0,2,1,3,0,0,6,0,0,1,3,0,2,1,1
"Gene00015",14,13,20,8,9,9,14,7,9,8,6,6,10,7,5,10,20,6,6,8,18,10,10,7,1,5,12,10,9,14,15,7,6,3,4,8,6,8,4,9,8,12,8,10,5,13,15,8,0,13,8,18,12,4,8,7,8,3,4,6,7,1,4,5,5,16,0,3,3,13,3,6,8,10,8,6,3,4,13,7,11,5,4,13,3,2,23,10,8,7,5,4,11,8,2,3,1,1,4,5,3,5,0,7,6,3,2,4,2,5,6,14,2,11,5,10,4,0,3,8
"Gene00016",5,0,1,4,2,1,9,3,2,1,4,3,2,2,3,2,5,0,2,2,7,1,3,3,2,4,3,3,1,4,3,2,1,6,4,3,5,3,2,2,4,4,4,4,2,5,9,6,0,3,1,1,2,0,2,4,3,5,0,5,2,2,3,3,3,2,1,4,3,1,4,7,3,3,2,6,1,2,4,5,3,0,1,9,2,1,4,2,0,0,4,1,1,2,0,2,2,4,3,1,1,2,4,3,2,2,3,2,1,2,2,2,1,3,1,3,2,0,1,1
"Gene00017",2,1,1,1,0,1,1,4,1,5,1,3,6,2,3,3,0,6,2,2,1,3,5,2,2,3,4,9,3,1,2,4,5,2,4,1,0,1,2,0,5,1,1,3,4,6,7,6,3,2,1,4,3,2,7,1,2,5,1,1,7,5,0,3,2,2,0,0,1,3,1,1,1,2,5,0,0,6,2,1,2,2,1,3,1,2,4,4,0,7,1,0,1,2,0,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,5,0,4,1,3,1,3,2,0
"Gene00018",2,0,0,2,1,4,2,1,4,1,4,0,2,0,4,1,1,2,1,2,4,4,3,1,0,2,2,1,1,0,2,0,3,0,1,5,2,8,2,0,3,2,2,2,1,3,2,0,4,1,1,3,1,2,1,0,2,1,2,2,4,2,1,0,2,0,0,1,0,0,0,0,3,1,2,1,3,1,0,0,0,3,0,1,2,1,1,0,0,0,0,1,2,0,3,0,2,3,5,5,1,3,0,2,1,0,3,2,0,3,1,1,1,3,1,1,2,1,3,2
"Gene00019",0,0,2,1,1,0,1,0,2,1,0,0,1,0,4,2,0,2,0,3,1,1,4,4,1,0,2,5,4,1,3,3,3,3,3,0,1,0,2,5,1,1,0,3,0,0,1,2,1,3,5,3,1,1,1,4,1,3,0,3,0,1,0,0,1,2,0,2,1,2,1,6,3,1,1,1,2,1,2,1,0,2,2,1,0,1,1,1,2,2,1,1,1,3,1,0,2,0,0,3,0,1,0,2,1,0,2,3,1,1,2,2,1,3,1,2,2,3,0,2
