,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24
S001,0.07897407,1.1500432,-0.58179694,1.8270965,-3.0481598,0.09529566,2.7814157,1.9711229,0.21091563,0.6225987,-0.109147124,0.89194506,4.9019465,-0.8583622,1.6951625,-1.0342953,-0.4000187,3.0334957,0.6131618,0.5485823,0.067456484,0.9442351,-1.2636802,0.60512036
S002,-1.5234278,-2.632297,2.2131796,-2.1756155,1.8365594,0.41806364,-1.745441,-0.6456105,0.56987244,0.65839034,0.9281847,-0.9859892,-4.376325,1.4171765,-2.2350821,1.6913277,-0.057643995,-2.1727815,-0.5413688,-1.1029896,0.2588582,0.64142346,1.7766398,-1.0057514
S003,0.35341808,0.88155717,-0.6392734,2.0435538,-2.836662,0.79454494,2.7625275,2.5782363,-0.036026455,-0.28780207,-1.7323997,2.0564847,4.2378063,-0.49703848,1.5754707,-0.56076574,-0.72575295,2.59256,1.0449263,-0.36560184,-0.95528096,0.20461203,-1.1864527,0.7831009
S004,0.1544623,-1.2332467,1.3223035,-2.5178704,2.604049,-0.3039873,-2.016206,-1.1512843,-0.2698081,0.14354865,1.3024099,-1.6518825,-3.8299823,0.1828808,-0.2011857,0.9797133,-0.8513872,-2.4374254,0.2530885,0.69849175,0.89025474,-1.0116166,1.3710613,-1.011521
S005,0.6122333,2.1001465,-2.0471432,1.2897626,-3.0308955,-0.8607065,1.539486,0.589406,0.7889368,0.78023976,-1.7364982,0.071845934,4.035757,0.7868423,0.81772196,0.1906778,-0.7355105,2.411835,0.51374805,1.2813668,-0.5368209,0.37732533,-0.3946376,1.193803
S006,-1.0321043,-2.099263,1.6587378,-2.4993136,1.2837853,-0.3852235,-2.2144535,-0.5281787,0.6061631,-0.2881023,1.1204019,-1.0537508,-4.4010563,1.4870311,-1.0898772,0.8427852,0.22514613,-2.660114,-0.77657527,-1.1301308,1.0566219,0.57100725,2.6300464,-0.60982317
S007,0.19422865,0.3954925,-0.7213166,1.4609683,-2.2251391,1.2737833,2.5692918,2.7567663,-0.6998447,0.52403283,-0.7346997,1.0785154,4.692481,-0.9785062,1.2890793,-0.46725708,0.122191414,2.9990492,0.75029063,0.54137313,-0.38862804,0.3666141,-2.2314408,0.7267311
S008,-2.2995362,-2.3159492,1.9543893,-1.9228579,1.6768918,-0.40237027,-2.7034156,-1.7272009,0.07544755,-1.0899438,1.092915,-0.9607431,-4.051613,1.6160296,-0.43003473,1.4451549,-0.4706,-2.0970771,0.09193511,-0.33789274,-0.26759636,0.5468726,1.0619334,-0.82483745
S009,0.60157317,0.9481712,-0.5480227,2.4644635,-2.7554185,0.29166472,3.1875856,1.757358,0.93753123,-0.23028854,-1.4452155,0.16506848,4.3699455,0.27696228,1.7605536,-0.9012933,-0.67388546,2.6035733,0.8470565,-0.09066971,-0.43668434,-0.66280395,-0.92161524,0.31593907
S010,-1.3703585,-1.9800161,1.7418755,-2.4911983,2.0381286,-0.21978706,-2.2923906,-0.8847699,0.22154215,0.5247308,0.9982076,-0.9343412,-4.26789,1.3790482,-1.7730256,1.4476168,-0.083320394,-2.307256,-0.5111516,-1.759288,0.35602018,0.8509653,2.0243583,-0.7748565
S011,-0.1341841,1.3100215,-1.8797781,1.5781413,-2.1391315,0.10326276,3.1440513,1.776874,-0.455421,0.25421134,-1.1735445,1.0668789,4.404639,-0.33289596,1.5182536,-0.81938386,0.14602542,2.9176135,0.55189544,0.67957765,-0.33335006,-0.5219818,-2.189888,0.58726937
S012,-0.9456006,-1.8230556,2.1328185,-2.335437,1.4475019,0.33084226,-2.1098373,-1.3929228,0.08352246,1.0008636,1.3404543,-0.9714989,-4.0756903,1.3584387,-1.7826505,1.2943062,0.32570076,-1.9421813,-0.20446073,-1.4531114,0.8465799,0.3901203,1.7089721,-1.0518348
S013,0.95959806,2.2142243,-0.87857836,1.9521917,-1.277425,0.9201346,2.7851326,1.9620734,-0.18171817,0.037603673,-0.7960914,0.97904444,4.7107916,-0.32137454,1.7233329,-1.6401792,0.46518755,2.2335699,0.706363,0.50376993,1.033623,0.012408522,-0.7383667,-0.060114563
S014,-1.1215957,-1.9012324,2.4237754,-2.2353294,1.8269114,-0.341066,-2.2425096,-0.9444456,0.28502285,-0.05347084,0.69171906,-1.2981676,-4.1748114,1.3999461,-1.6833322,1.5110848,0.31223494,-2.4009602,0.08146307,-1.6484264,0.04328206,0.6136965,1.6971302,-0.3185485
S015,0.44750267,1.1648281,-1.6788669,2.1376688,-2.5353305,0.8960359,2.7411463,2.0326211,-0.42868668,0.47584644,-1.9129977,0.94274795,5.126564,-0.34058887,1.7052727,-0.8770322,-0.1337146,3.0602233,0.6213843,0.301905,-0.69398737,-0.13504203,-1.4341613,0.917504
S016,-1.5755304,-1.9572657,2.1609032,-2.5229557,1.5848258,-0.6618285,-2.5523636,-0.75953424,0.87732667,-0.21726832,0.47219592,-1.9163439,-3.2463017,0.6952946,-1.5548787,1.5860128,0.29949033,-1.9322634,-0.59122175,-0.9211728,0.8557941,0.14822511,2.347013,-0.28404793
S017,0.7226455,0.6460691,-0.97472227,2.7435815,-2.698825,0.77775055,3.2354064,1.9996593,-0.6396796,-0.16675107,-0.52808875,1.8957537,4.4393654,-0.7463068,2.0129638,-0.9001369,-0.13043715,2.8618355,0.9779647,0.5782407,-0.38425937,0.38695526,-2.1066856,0.6304416
S018,-1.2556711,-1.8835789,2.144599,-1.8813399,2.0041482,-0.78306067,-2.425153,-1.2790453,1.0614747,0.07022601,1.320854,-1.301354,-3.8121433,1.0289078,-0.84023714,1.6194456,0.0029890984,-2.2385395,-0.49202168,-0.9264823,0.11669788,0.5397146,1.9579749,-0.79276294
S019,0.24298656,0.70616096,-2.6368134,1.5940129,-0.95663154,0.59133506,2.6999438,1.5412761,-0.13330224,0.59971386,-1.5570629,0.67969537,3.8555727,-0.33525974,1.1285669,-0.94043213,-0.22341041,3.0571344,0.33871314,1.4647822,-0.27832192,-0.15023407,-1.634738,1.4393662
S020,-1.5088371,-1.61915,2.0734537,-2.1912334,2.0221682,0.32633162,-1.9328146,-1.4613211,0.8810577,0.6519987,1.566138,-0.6648662,-4.290453,1.303145,-1.4701775,1.4512212,-0.24921863,-1.8655704,-0.43615445,-0.73135936,0.26634586,0.66435045,1.6140985,-1.4889553
S021,-0.42409462,0.9645056,-0.90292364,2.797484,-2.6083722,0.79439837,3.5359137,1.9629582,-0.10298293,-0.034230296,-1.3509712,1.2933167,4.8411903,-0.004575949,1.9293392,-0.83120257,0.59300345,2.5205839,1.0084304,-0.052473675,-0.577814,-0.23639514,-0.93859684,0.35629094
S022,-1.3918947,-2.5456276,2.0392818,-2.2789829,1.2428685,0.03469015,-2.2980494,-0.021487262,0.50232124,0.64764595,0.49877942,-1.1194372,-4.117937,1.0993714,-1.8785968,0.96181023,-0.47826505,-2.2129827,0.41824743,-1.4357802,0.46950674,0.30828342,2.1508038,-0.5038919
S023,1.227278,2.2461588,-1.1162164,2.0355036,-1.966159,0.839547,2.5777016,2.113623,-0.6785208,0.44666734,-0.48567086,1.2193264,4.6529036,-0.29519463,2.383085,-0.5722953,-0.76293314,3.1749978,0.54430515,0.091864936,-0.23723254,0.18881649,-1.4761857,-0.07106304
S024,-1.5974388,-1.6578856,0.83186126,-2.8336816,1.8550315,0.24114102,-1.1560575,-1.3752393,0.077346794,0.71969754,0.6751614,-1.0936918,-4.287071,0.27672023,-1.1891181,1.4252033,-0.08309181,-2.03102,-0.25049257,-1.3324984,0.59747064,1.2359511,2.0565658,-0.2352463
S025,0.43153697,0.4607194,-1.0499648,2.1570392,-2.523639,0.9561888,3.2090147,2.1337497,0.17584303,-0.045122605,-0.841758,1.3551108,4.6373205,-0.9315628,1.4154811,-1.3244191,-0.4157012,3.2693536,0.78058517,0.36780977,-0.1391986,0.28375462,-1.5717859,0.36072877
S026,-0.38690844,-1.439134,1.9255441,-2.591749,1.2765715,-1.1229063,-1.9165529,-1.6941866,-0.415527,0.021475267,0.3477546,-0.33944514,-3.6590981,0.9881649,-0.57412535,1.0394865,0.75230485,-2.4735272,-0.8431917,-2.0689847,-0.46282852,-0.18996501,1.9088597,-0.4493642
S027,0.055714574,1.3075982,-1.6421201,1.7716874,-2.3919468,0.7866728,2.8708901,2.2025578,-0.17705444,0.6957441,-1.5286279,0.57077885,4.628051,-0.6452217,1.470875,-0.24629618,-0.07963146,3.3551161,0.683737,0.45372972,-0.5603558,0.42756805,-1.1713583,0.9239476
