,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,z32
S001,-1.8703454,2.993648,-0.96329117,-0.09452075,-0.6660039,-1.3137714,2.2026675,0.19681905,-1.4311981,-0.14460286,-0.71390337,-1.9605376,0.29581752,0.952971,2.9856977,-0.24450861,-0.02503283,2.451275,-0.19984832,-3.2837517,-0.74633706,-0.7692738,-1.245171,1.5860697,-1.3259505,3.1119337,2.610368,-1.3039501,0.27818912,0.48133978,0.87936336,2.2188852
S002,2.2048602,-3.4450674,1.5080636,-1.4191418,0.6173498,0.61953324,-0.54490024,0.17349555,1.7173349,-0.30316675,-1.1328114,2.123277,0.75213945,-1.274851,-2.6920972,-0.3138044,0.2653264,-2.772205,1.2307396,2.7708728,-0.69381535,0.25023773,1.3089354,-0.43706706,0.8143272,-2.7268488,-1.8572124,1.9949625,0.33985627,-1.1355317,0.4967003,-0.6762394
S003,-1.4607877,3.432009,-0.9210915,0.3177929,-0.47499233,-1.2576529,2.3585305,-0.3871088,-1.3660612,-0.49930117,-0.5182675,-1.6392347,0.07646862,1.014606,2.9940956,-0.43974492,0.57674444,2.9311998,-0.054735884,-3.526724,-0.8132293,-1.0252922,-1.2583308,1.6900176,-0.6110596,2.752128,2.3625379,-0.89423454,0.39695525,1.067559,0.88035834,1.8530705
S004,1.6500382,-3.3867393,1.0859628,-1.4797382,1.3254406,0.9011946,-0.45610276,0.68582547,1.1084566,-0.6788314,-0.20499437,1.8361449,0.79468024,-1.282571,-3.375495,-0.43084934,0.2547588,-2.6370387,0.6127406,2.625287,-0.72107697,0.24651842,1.9321432,-0.08914271,0.9712355,-2.7199466,-1.7315643,2.4447374,0.15864784,-1.5801568,0.496651,-1.3691405
S005,-1.6161405,3.2365773,-1.4208391,0.5903748,-0.88794434,-1.2391437,1.8682169,-0.36521196,-1.5152185,-0.5797939,-0.80314606,-1.9552003,0.020129327,0.83398783,3.2158833,-0.07523054,0.6178907,2.5289433,-0.58876634,-2.9131975,-0.6825531,-1.0458128,-1.1839612,0.9274336,-0.96401745,3.119476,2.4541202,-0.98042774,0.6329412,0.7119486,0.6705936,2.142964
S006,1.5053817,-3.1242878,1.1524906,-1.6037805,0.92588437,1.4491756,-0.111303926,0.3089283,1.2550145,-0.71890944,-0.2246911,2.245983,0.771619,-1.2732952,-3.5062172,-0.31367823,0.3444873,-2.887121,1.0685565,3.1905873,-0.56992006,1.0093634,2.0341687,-0.7543457,0.6563468,-2.9613628,-1.8889077,2.1400352,0.097650066,-0.98666126,0.42989528,-1.1505716
S007,-1.9634582,3.3649662,-1.0261661,0.46067452,-0.59585285,-1.3395487,1.9671465,-0.46905607,-1.5317881,-0.181584,-0.5836447,-1.8114926,-0.39727297,1.4475988,3.233599,-0.30383638,0.35523987,2.7623408,-0.22437629,-3.0528908,-0.64691246,-1.1168184,-1.3564953,1.4735619,-1.0304792,2.836478,2.8225527,-0.8202235,0.36927417,1.051071,0.34425062,2.0990021
S008,1.9109508,-3.7059453,1.095683,-1.45072,0.95107263,1.4049717,-0.56077445,0.46938956,1.2259202,-0.08549431,-0.53812164,1.9941899,0.41914368,-1.0264109,-3.309422,-0.11917956,0.17453693,-2.869684,1.0480547,2.586517,-0.69924104,0.47482347,2.2283392,-0.34505638,0.9779785,-2.5469942,-2.0365324,1.957866,0.15126646,-1.6279525,0.33668965,-0.9433217
S009,-1.1933149,3.0676835,-1.1054955,0.19529091,-0.36387017,-1.1778227,2.2312825,-0.9941374,-0.97498876,-0.18778996,-0.97397137,-1.4392534,-0.34114888,0.8979501,2.753182,-0.49038118,0.120276526,2.5035646,-0.38611144,-3.4305701,-0.67471784,-0.65025645,-1.205819,1.8591212,-1.5493478,2.830343,2.8179624,-1.0821733,-0.04052406,0.7547932,1.2264191,2.0346072
S010,1.7088078,-2.9058495,1.7145603,-1.4532287,1.0343324,0.97093964,-0.22343566,0.4446404,1.4120274,-0.5375616,-0.36080316,2.2424896,0.5941885,-1.2885294,-3.2629447,-0.2716633,0.35385513,-3.0440304,1.0545666,2.5420947,-0.4320202,0.3590657,1.5859957,-0.28240207,0.92584723,-2.7492175,-2.0632493,2.188654,0.1337522,-1.592483,0.20416626,-0.81769335
S011,-1.4317378,3.1170313,-1.1825516,0.020978708,-0.5655471,-1.0382731,1.7875977,-0.38895315,-1.1699355,-0.018367795,-0.6003676,-1.8319246,-0.07280955,1.0191463,2.7927213,-0.38413912,0.42454123,3.2160609,-0.24437277,-3.3312106,-1.0933584,-1.0951574,-0.9969189,1.5553228,-0.95084715,2.8060014,2.1428406,-0.7755122,0.54467064,1.2263117,0.7576655,1.7953533
